time,leg_length,hip_angle_rad,hip_angle_deg,contact,gps_x,gps_y,gps_z,roll,pitch,yaw,height_from_gps
0.086000,0.000004,-0.001000,-0.057,0,0.282807,0.007060,0.524088,-3.119463,0.923663,-3.089466,0.524088
0.087000,0.000004,-0.001000,-0.057,0,0.283089,0.007067,0.523859,-3.119503,0.922792,-3.089497,0.523859
0.088000,0.000004,-0.001000,-0.057,0,0.283375,0.007074,0.523628,-3.119544,0.921911,-3.089529,0.523628
0.089000,0.000004,-0.001000,-0.057,0,0.283663,0.007081,0.523394,-3.119585,0.921020,-3.089561,0.523394
0.090000,0.000004,-0.001000,-0.057,0,0.283954,0.007088,0.523157,-3.119626,0.920118,-3.089593,0.523157
0.091000,0.000004,-0.001000,-0.057,0,0.284249,0.007096,0.522917,-3.119667,0.919207,-3.089626,0.522917
0.092000,0.000004,-0.001000,-0.057,0,0.284547,0.007103,0.522674,-3.119709,0.918285,-3.089659,0.522674
0.093000,0.000004,-0.001000,-0.057,0,0.284847,0.007110,0.522428,-3.119752,0.917352,-3.089692,0.522428
0.094000,0.000004,-0.001000,-0.057,0,0.285151,0.007118,0.522179,-3.119794,0.916410,-3.089725,0.522179
0.095000,0.000004,-0.001000,-0.057,0,0.285458,0.007126,0.521927,-3.119837,0.915457,-3.089759,0.521927
0.096000,0.000004,-0.001000,-0.057,0,0.285768,0.007133,0.521672,-3.119881,0.914493,-3.089793,0.521672
0.097000,0.000004,-0.001000,-0.057,0,0.286081,0.007141,0.521414,-3.119924,0.913519,-3.089827,0.521414
0.098000,0.000004,-0.001000,-0.057,0,0.286398,0.007149,0.521154,-3.119968,0.912535,-3.089861,0.521154
0.099000,0.000004,-0.001000,-0.057,0,0.286717,0.007157,0.520890,-3.120013,0.911540,-3.089896,0.520890
0.100000,0.000004,-0.001000,-0.057,0,0.287040,0.007165,0.520623,-3.120058,0.910535,-3.089931,0.520623
0.101000,0.000004,-0.001000,-0.057,0,0.287365,0.007173,0.520353,-3.120103,0.909519,-3.089966,0.520353
0.102000,0.000004,-0.001000,-0.057,0,0.287694,0.007181,0.520081,-3.120148,0.908493,-3.090002,0.520081
0.103000,0.000004,-0.001000,-0.057,0,0.288026,0.007189,0.519805,-3.120194,0.907456,-3.090037,0.519805
0.104000,0.000004,-0.001000,-0.057,0,0.288361,0.007198,0.519526,-3.120240,0.906409,-3.090073,0.519526
0.105000,0.000004,-0.001000,-0.057,0,0.288699,0.007206,0.519244,-3.120287,0.905351,-3.090109,0.519244
0.106000,0.000004,-0.001000,-0.057,0,0.289040,0.007214,0.518960,-3.120334,0.904283,-3.090146,0.518960
0.107000,0.000004,-0.001000,-0.057,0,0.289384,0.007223,0.518672,-3.120381,0.903204,-3.090182,0.518672
0.108000,0.000004,-0.001000,-0.057,0,0.289731,0.007232,0.518381,-3.120428,0.902114,-3.090219,0.518381
0.109000,0.000004,-0.001000,-0.057,0,0.290081,0.007240,0.518087,-3.120476,0.901014,-3.090256,0.518087
0.110000,0.000004,-0.001000,-0.057,0,0.290435,0.007249,0.517790,-3.120524,0.899903,-3.090293,0.517790
0.111000,0.000004,-0.001000,-0.057,0,0.290791,0.007258,0.517489,-3.120573,0.898782,-3.090331,0.517489
0.112000,0.000004,-0.001000,-0.057,0,0.291150,0.007267,0.517186,-3.120622,0.897649,-3.090368,0.517186
0.113000,0.000004,-0.001000,-0.057,0,0.291513,0.007276,0.516880,-3.120671,0.896507,-3.090406,0.516880
0.114000,0.000004,-0.001000,-0.057,0,0.291878,0.007285,0.516570,-3.120720,0.895353,-3.090444,0.516570
0.115000,0.000004,-0.001000,-0.057,0,0.292247,0.007294,0.516257,-3.120770,0.894189,-3.090482,0.516257
0.116000,0.000004,-0.001000,-0.057,0,0.292618,0.007303,0.515941,-3.120820,0.893014,-3.090521,0.515941
0.117000,0.000004,-0.001000,-0.057,0,0.292993,0.007312,0.515622,-3.120870,0.891829,-3.090560,0.515622
0.118000,0.000004,-0.001000,-0.057,0,0.293371,0.007322,0.515299,-3.120921,0.890632,-3.090599,0.515299
0.119000,0.000004,-0.001000,-0.057,0,0.293751,0.007331,0.514973,-3.120972,0.889425,-3.090638,0.514973
0.120000,0.000004,-0.001000,-0.057,0,0.294135,0.007341,0.514644,-3.121023,0.888208,-3.090677,0.514644
0.121000,0.000004,-0.001000,-0.057,0,0.294521,0.007350,0.514312,-3.121075,0.886979,-3.090716,0.514312
0.122000,0.000004,-0.001000,-0.057,0,0.294911,0.007360,0.513976,-3.121127,0.885740,-3.090756,0.513976
0.123000,0.000004,-0.001000,-0.057,0,0.295303,0.007370,0.513637,-3.121179,0.884491,-3.090796,0.513637
0.124000,0.000004,-0.001000,-0.057,0,0.295698,0.007380,0.513294,-3.121232,0.883230,-3.090836,0.513294
0.125000,0.000004,-0.001000,-0.057,0,0.296097,0.007390,0.512949,-3.121284,0.881959,-3.090876,0.512949
0.126000,0.000004,-0.001000,-0.057,0,0.296498,0.007399,0.512599,-3.121337,0.880677,-3.090916,0.512599
0.127000,0.000004,-0.001000,-0.057,0,0.296902,0.007410,0.512247,-3.121391,0.879384,-3.090957,0.512247
0.128000,0.000004,-0.001000,-0.057,0,0.297309,0.007420,0.511890,-3.121444,0.878080,-3.090998,0.511890
0.129000,0.000004,-0.001000,-0.057,0,0.297719,0.007430,0.511531,-3.121498,0.876766,-3.091038,0.511531
0.130000,0.000004,-0.001000,-0.057,0,0.298132,0.007440,0.511168,-3.121552,0.875441,-3.091079,0.511168
0.131000,0.000004,-0.001000,-0.057,0,0.298547,0.007450,0.510801,-3.121606,0.874105,-3.091121,0.510801
0.132000,0.000005,-0.001000,-0.057,0,0.298966,0.007461,0.510431,-3.121661,0.872758,-3.091162,0.510431
0.133000,0.000005,-0.001000,-0.057,0,0.299387,0.007471,0.510057,-3.121716,0.871401,-3.091203,0.510057
0.134000,0.000005,-0.001000,-0.057,0,0.299812,0.007482,0.509679,-3.121771,0.870032,-3.091245,0.509679
0.135000,0.000005,-0.001000,-0.057,0,0.300239,0.007492,0.509298,-3.121827,0.868653,-3.091287,0.509298
0.136000,0.000005,-0.001000,-0.057,0,0.300669,0.007503,0.508914,-3.121882,0.867263,-3.091329,0.508914
0.137000,0.000005,-0.001000,-0.057,0,0.301101,0.007514,0.508525,-3.121938,0.865862,-3.091371,0.508525
0.138000,0.000005,-0.001000,-0.057,0,0.301537,0.007525,0.508133,-3.121994,0.864451,-3.091413,0.508133
0.139000,0.000005,-0.001000,-0.057,0,0.301975,0.007535,0.507738,-3.122051,0.863028,-3.091455,0.507738
0.140000,0.000005,-0.001000,-0.057,0,0.302416,0.007546,0.507338,-3.122107,0.861595,-3.091497,0.507338
0.141000,0.000005,-0.001000,-0.057,0,0.302860,0.007557,0.506935,-3.122164,0.860150,-3.091540,0.506935
0.142000,0.000005,-0.001000,-0.057,0,0.303307,0.007568,0.506528,-3.122222,0.858695,-3.091583,0.506528
0.143000,0.000005,-0.001000,-0.057,0,0.303756,0.007580,0.506117,-3.122279,0.857229,-3.091625,0.506117
0.144000,0.000005,-0.001000,-0.057,0,0.304208,0.007591,0.505703,-3.122337,0.855752,-3.091668,0.505703
0.145000,0.000005,-0.001000,-0.057,0,0.304663,0.007602,0.505285,-3.122394,0.854264,-3.091711,0.505285
0.146000,0.000005,-0.001000,-0.057,0,0.305120,0.007614,0.504862,-3.122452,0.852765,-3.091755,0.504862
0.147000,0.000005,-0.001000,-0.057,0,0.305580,0.007625,0.504436,-3.122511,0.851255,-3.091798,0.504436
0.148000,0.000005,-0.001000,-0.057,0,0.306043,0.007636,0.504007,-3.122569,0.849734,-3.091841,0.504007
0.149000,0.000005,-0.001000,-0.057,0,0.306509,0.007648,0.503573,-3.122628,0.848202,-3.091884,0.503573
0.150000,0.000005,-0.001000,-0.057,0,0.306977,0.007660,0.503135,-3.122687,0.846659,-3.091928,0.503135
0.151000,0.000005,-0.001000,-0.057,0,0.307448,0.007671,0.502693,-3.122746,0.845105,-3.091972,0.502693
0.152000,0.000005,-0.001000,-0.057,0,0.307922,0.007683,0.502248,-3.122805,0.843540,-3.092016,0.502248
0.153000,0.000005,-0.001000,-0.057,0,0.308398,0.007695,0.501798,-3.122865,0.841963,-3.092059,0.501798
0.154000,0.000005,-0.001000,-0.057,0,0.308877,0.007707,0.501345,-3.122925,0.840376,-3.092103,0.501345
0.155000,0.000005,-0.001000,-0.057,0,0.309359,0.007719,0.500887,-3.122985,0.838777,-3.092147,0.500887
0.156000,0.000005,-0.001000,-0.057,0,0.309843,0.007731,0.500426,-3.123045,0.837168,-3.092191,0.500426
0.157000,0.000005,-0.001000,-0.057,0,0.310330,0.007743,0.499960,-3.123105,0.835547,-3.092235,0.499960
0.158000,0.000005,-0.001000,-0.057,0,0.310819,0.007755,0.499491,-3.123166,0.833915,-3.092280,0.499491
0.159000,0.000005,-0.001000,-0.057,0,0.311311,0.007767,0.499017,-3.123227,0.832271,-3.092324,0.499017
0.160000,0.000005,-0.001000,-0.057,0,0.311806,0.007780,0.498539,-3.123288,0.830617,-3.092368,0.498539
0.161000,0.000005,-0.001000,-0.057,0,0.312303,0.007792,0.498057,-3.123349,0.828951,-3.092413,0.498057
0.162000,0.000005,-0.001000,-0.057,0,0.312803,0.007804,0.497571,-3.123410,0.827274,-3.092458,0.497571
0.163000,0.000005,-0.001000,-0.057,0,0.313305,0.007817,0.497081,-3.123472,0.825585,-3.092502,0.497081
0.164000,0.000005,-0.001000,-0.057,0,0.313810,0.007829,0.496587,-3.123534,0.823885,-3.092547,0.496587
0.165000,0.000005,-0.001000,-0.057,0,0.314317,0.007842,0.496088,-3.123596,0.822174,-3.092591,0.496088
0.166000,0.000005,-0.001000,-0.057,0,0.314827,0.007855,0.495586,-3.123658,0.820452,-3.092636,0.495586
0.167000,0.000005,-0.001000,-0.057,0,0.315339,0.007867,0.495079,-3.123720,0.818718,-3.092681,0.495079
0.168000,0.000005,-0.001000,-0.057,0,0.315854,0.007880,0.494568,-3.123782,0.816972,-3.092726,0.494568
0.169000,0.000005,-0.001000,-0.057,0,0.316372,0.007893,0.494052,-3.123845,0.815215,-3.092771,0.494052
0.170000,0.000005,-0.001000,-0.057,0,0.316892,0.007906,0.493533,-3.123908,0.813447,-3.092816,0.493533
0.171000,0.000005,-0.001000,-0.057,0,0.317414,0.007919,0.493009,-3.123971,0.811667,-3.092861,0.493009
0.172000,0.000005,-0.001000,-0.057,0,0.317939,0.007932,0.492480,-3.124034,0.809875,-3.092906,0.492480
0.173000,0.000006,-0.001000,-0.057,0,0.318466,0.007945,0.491948,-3.124097,0.808072,-3.092951,0.491948
0.174000,0.000006,-0.001000,-0.057,0,0.318995,0.007958,0.491411,-3.124161,0.806258,-3.092997,0.491411
0.175000,0.000006,-0.001000,-0.057,0,0.319527,0.007971,0.490870,-3.124225,0.804432,-3.093042,0.490870
0.176000,0.000006,-0.001000,-0.057,0,0.320062,0.007985,0.490324,-3.124288,0.802594,-3.093087,0.490324
0.177000,0.000006,-0.001000,-0.057,0,0.320598,0.007998,0.489774,-3.124352,0.800744,-3.093132,0.489774
0.178000,0.000006,-0.001000,-0.057,0,0.321137,0.008011,0.489219,-3.124416,0.798883,-3.093178,0.489219
0.179000,0.000006,-0.001000,-0.057,0,0.321679,0.008025,0.488660,-3.124481,0.797010,-3.093223,0.488660
0.180000,0.000006,-0.001000,-0.057,0,0.322223,0.008038,0.488097,-3.124545,0.795126,-3.093268,0.488097
0.181000,0.000006,-0.001000,-0.057,0,0.322769,0.008052,0.487529,-3.124610,0.793229,-3.093314,0.487529
0.182000,0.000006,-0.001000,-0.057,0,0.323317,0.008066,0.486956,-3.124675,0.791321,-3.093359,0.486956
0.183000,0.000006,-0.001000,-0.057,0,0.323868,0.008079,0.486379,-3.124740,0.789402,-3.093405,0.486379
0.184000,0.000006,-0.001000,-0.057,0,0.324421,0.008093,0.485797,-3.124805,0.787470,-3.093450,0.485797
0.185000,0.000006,-0.001000,-0.057,0,0.324976,0.008107,0.485211,-3.124870,0.785527,-3.093495,0.485211
0.186000,0.000006,-0.001000,-0.057,0,0.325533,0.008121,0.484620,-3.124935,0.783571,-3.093541,0.484620
0.187000,0.000006,-0.001000,-0.057,0,0.326093,0.008135,0.484024,-3.125001,0.781604,-3.093586,0.484024
0.188000,0.000006,-0.001000,-0.057,0,0.326655,0.008148,0.483424,-3.125066,0.779625,-3.093632,0.483424
0.189000,0.000006,-0.001000,-0.057,0,0.327219,0.008162,0.482819,-3.125132,0.777634,-3.093677,0.482819
0.190000,0.000006,-0.001000,-0.057,0,0.327785,0.008177,0.482210,-3.125198,0.775632,-3.093723,0.482210
0.191000,0.000006,-0.001000,-0.057,0,0.328353,0.008191,0.481595,-3.125264,0.773617,-3.093768,0.481595
0.192000,0.000006,-0.001000,-0.057,0,0.328924,0.008205,0.480976,-3.125330,0.771590,-3.093814,0.480976
0.193000,0.000006,-0.001000,-0.057,0,0.329496,0.008219,0.480352,-3.125396,0.769552,-3.093859,0.480352
0.194000,0.000006,-0.001000,-0.057,0,0.330071,0.008233,0.479723,-3.125463,0.767501,-3.093904,0.479723
0.195000,0.000006,-0.001000,-0.057,0,0.330648,0.008248,0.479090,-3.125529,0.765439,-3.093950,0.479090
0.196000,0.000006,-0.001000,-0.057,0,0.331226,0.008262,0.478451,-3.125596,0.763364,-3.093995,0.478451
0.197000,0.000006,-0.001000,-0.057,0,0.331807,0.008277,0.477808,-3.125663,0.761277,-3.094041,0.477808
0.198000,0.000006,-0.001000,-0.057,0,0.332390,0.008291,0.477159,-3.125729,0.759178,-3.094086,0.477159
0.199000,0.000006,-0.001000,-0.057,0,0.332975,0.008306,0.476506,-3.125796,0.757068,-3.094131,0.476506
0.200000,0.000006,-0.001000,-0.057,0,0.333561,0.008320,0.475848,-3.125864,0.754945,-3.094177,0.475848
0.201000,0.000006,-0.001000,-0.057,0,0.334150,0.008335,0.475184,-3.125931,0.752810,-3.094222,0.475184
0.202000,0.000006,-0.001000,-0.057,0,0.334741,0.008349,0.474516,-3.125998,0.750662,-3.094267,0.474516
0.203000,0.000006,-0.001000,-0.057,0,0.335333,0.008364,0.473843,-3.126066,0.748503,-3.094312,0.473843
0.204000,0.000007,-0.001000,-0.057,0,0.335927,0.008379,0.473164,-3.126133,0.746331,-3.094358,0.473164
0.205000,0.000007,-0.001000,-0.057,0,0.336524,0.008394,0.472480,-3.126201,0.744148,-3.094403,0.472480
0.206000,0.000007,-0.001000,-0.057,0,0.337122,0.008409,0.471792,-3.126269,0.741952,-3.094448,0.471792
0.207000,0.000007,-0.001000,-0.057,0,0.337721,0.008424,0.471098,-3.126336,0.739744,-3.094493,0.471098
0.208000,0.000007,-0.001000,-0.057,0,0.338323,0.008439,0.470399,-3.126404,0.737523,-3.094538,0.470399
0.209000,0.000007,-0.001000,-0.057,0,0.338926,0.008454,0.469694,-3.126472,0.735290,-3.094583,0.469694
0.210000,0.000007,-0.001000,-0.057,0,0.339532,0.008469,0.468985,-3.126541,0.733045,-3.094628,0.468985
0.211000,0.000007,-0.001000,-0.057,0,0.340138,0.008484,0.468270,-3.126609,0.730788,-3.094673,0.468270
0.212000,0.000007,-0.001000,-0.057,0,0.340747,0.008499,0.467550,-3.126677,0.728518,-3.094718,0.467550
0.213000,0.000007,-0.001000,-0.057,0,0.341357,0.008514,0.466824,-3.126746,0.726236,-3.094762,0.466824
0.214000,0.000007,-0.001000,-0.057,0,0.341969,0.008529,0.466093,-3.126814,0.723942,-3.094807,0.466093
0.215000,0.000007,-0.001000,-0.057,0,0.342582,0.008544,0.465357,-3.126883,0.721635,-3.094852,0.465357
0.216000,0.000007,-0.001000,-0.057,0,0.343197,0.008560,0.464616,-3.126952,0.719315,-3.094896,0.464616
0.217000,0.000007,-0.001000,-0.057,0,0.343814,0.008575,0.463868,-3.127020,0.716984,-3.094941,0.463868
0.218000,0.000007,-0.001000,-0.057,0,0.344432,0.008590,0.463116,-3.127089,0.714639,-3.094986,0.463116
0.219000,0.000007,-0.001000,-0.057,0,0.345052,0.008606,0.462358,-3.127158,0.712283,-3.095030,0.462358
0.220000,0.000007,-0.001000,-0.057,0,0.345673,0.008621,0.461594,-3.127227,0.709914,-3.095074,0.461594
0.221000,0.000007,-0.001000,-0.057,0,0.346296,0.008637,0.460825,-3.127297,0.707532,-3.095119,0.460825
0.222000,0.000007,-0.001000,-0.057,0,0.346920,0.008652,0.460051,-3.127366,0.705137,-3.095163,0.460051
0.223000,0.000007,-0.001000,-0.057,0,0.347545,0.008668,0.459270,-3.127435,0.702731,-3.095207,0.459270
0.224000,0.000007,-0.001000,-0.057,0,0.348172,0.008683,0.458485,-3.127504,0.700311,-3.095251,0.458485
0.225000,0.000007,-0.001000,-0.057,0,0.348800,0.008699,0.457693,-3.127574,0.697879,-3.095295,0.457693
0.226000,0.000007,-0.001000,-0.057,0,0.349430,0.008715,0.456896,-3.127643,0.695434,-3.095339,0.456896
0.227000,0.000007,-0.001000,-0.057,0,0.350060,0.008730,0.456093,-3.127713,0.692977,-3.095383,0.456093
