Time,Phase,Z,Height_Dist,Vx,Vz,W_cent,Phi_leg,Leg_R
2.66,2,0.14677487118483526,1.0,-8.121092909263439e-06,1.0133912625720498e-05,-0.0389100986418478,0.03232464200275356,-0.0024451291028252547
2.68,2,0.14677504659874285,1.0,-8.32003466122444e-06,7.59810436790076e-06,-0.038683209782147676,0.03269716079028074,-0.0024441221819348448
2.7,2,0.1467751753673882,1.0,-8.363897630037087e-06,5.4515692515799685e-06,-0.03846113296324116,0.033051650607533296,-0.002443179737239816
2.72,2,0.14677526536149094,1.0,-8.251469896247698e-06,3.7015991105615598e-06,-0.038244270083725995,0.03338602149924352,-0.0024423028539699004
2.74,2,0.14677532454270548,1.0,-7.98399196755284e-06,2.350260153161088e-06,-0.03803298826635104,0.03369834235429611,-0.0024414923335256905
2.7600000000000002,2,0.1467753608596605,1.0,-7.565109483298471e-06,1.3944604637661229e-06,-0.03782761923060152,0.03398684472218997,-0.00244074869152157
2.7800000000000002,2,0.14677538214633634,1.0,-7.000779678190128e-06,8.261112904861534e-07,-0.03762845884541788,0.03424992577952201,-0.002440072157493593
2.8000000000000003,2,0.14677539602457407,1.0,-6.299135657528154e-06,6.323724599521796e-07,-0.03743576686005001,0.034486150456721196,-0.0024394626763148027
2.82,2,0.14677540981232398,1.0,-5.470312980371261e-06,7.959760350839673e-07,-0.037249766808578055,0.03469425273896355,-0.0024389199113533052
2.84,2,0.146775430439078,1.0,-4.526244379299271e-06,1.2956160311272669e-06,-0.037070646085407555,0.03487313615878356,-0.002438443249367201
2.86,2,0.14677546436971237,1.0,-3.480426113977586e-06,2.106394780820864e-06,-0.03689855618466131,0.03502187350128001,-0.002438031807116156
2.88,2,0.14677551753775658,1.0,-2.3476654509302364e-06,3.200315124018971e-06,-0.036733613099915186,0.03513970574607526,-0.0024376844396558355
2.9,2,0.1467755952888863,1.0,-1.143809325032663e-06,4.546807236271988e-06,-0.036575897877283436,0.035226040273191095,-0.0024373997502415263
2.92,2,0.14677570233520748,1.0,1.1453316073328779e-07,6.113278050445814e-06,-0.036425457313665754,0.03528044836284998,-0.00243717610176708
2.94,2,0.146775842720682,1.0,1.4102767287305085e-06,7.865673168350185e-06,-0.03628230479349459,0.03530266202180601,-0.002437011629637884
2.96,2,0.14677601979782848,1.0,2.7261400914468936e-06,9.769040604235002e-06,-0.03614642125757128,0.03529257017117736,-0.00243690425595551
2.98,2,0.14677623621561664,1.0,4.044923840318404e-06,1.1788085785280344e-05,-0.036017756291445435,0.035250214232877636,-0.002436851704893493
3.0,2,0.1467764939182917,1.0,5.34977523392044e-06,1.3887708455451175e-05,-0.035896229327953,0.03517578315359906,-0.002436851519111952
3.02,2,0.14677679415467013,1.0,6.624437220992263e-06,1.603351307277734e-05,-0.035781730954004276,0.0350696079069422,-0.002436901077068102
